K,silhouette,best_covariance_type
2,0.3900849406605205,tied
3,0.3877862913922678,tied
4,0.23219296423621044,spherical
5,0.19264458904762,spherical
6,0.17920674705985673,spherical
7,0.1830108963168314,spherical
8,0.1850512064921333,spherical
9,0.13938797062911584,spherical
10,0.18855959310997264,spherical
11,0.17927782994183547,spherical
12,0.16805813851253637,spherical
13,0.1534278893829851,spherical
14,0.1784913871692916,spherical
15,0.18047353321813794,spherical
