K,silhouette,best_threshold
2,0.41092014729150966,0.5
3,0.38802308742811503,0.5
4,0.2326953425695275,0.7
5,0.2141031251883956,0.9
6,0.201616736430603,0.5
7,0.18995465286666366,0.5
8,0.1792258225955374,0.5
9,0.17978286618300718,0.5
10,0.17674492799418978,0.5
11,0.17482973557051798,0.5
12,0.17579403521022927,0.5
13,0.17725006809825297,0.5
14,0.17993748813277882,0.5
15,0.18366716419960738,0.5
