K,silhouette
2,0.3076917395924289
3,0.3021811253689896
4,0.2447498978903964
5,0.2295484370934443
6,0.21555408433270085
7,0.22812009947587764
8,0.2097622266987755
9,0.21305317360012546
10,0.19480932352150715
