K,silhouette
2,0.2745022416928582
3,0.2455235438800916
4,0.2184949881248895
5,0.21493619662017574
6,0.14246266073847705
7,0.15083364642197922
8,0.1601838492866652
9,0.1661345275864971
10,0.15535852927655291
11,0.1588114704191451
12,0.16027824222197493
13,0.14820247838567716
14,0.15338137983674946
15,0.16101137647312005
