narrative_best_label,S1,S2,S3,S4,S5,Missing_total
0,11.192307692307692,30.03846153846154,4.8076923076923075,5.6923076923076925,4.269230769230769,0.4676113360384615
1,6.5,16.630434782608695,2.0652173913043477,4.130434782608695,1.891304347826087,17.783752860652175
2,10.89655172413793,29.79310344827586,4.448275862068965,5.9655172413793105,4.0,0.2994555353793103
3,9.583333333333334,26.5,3.75,4.666666666666667,3.25,3.4736842106666668
4,6.5,17.22222222222222,2.3333333333333335,3.6666666666666665,1.7222222222222223,17.754385965111112
5,11.933333333333334,29.4,4.2,5.466666666666667,4.466666666666667,4.052631578866667
6,9.941176470588236,25.470588235294116,4.352941176470588,5.294117647058823,4.294117647058823,0.5108359132941177
7,11.416666666666666,29.333333333333332,4.666666666666667,6.083333333333333,4.083333333333333,1.4473684208333333
8,14.166666666666666,32.5,4.916666666666667,5.833333333333333,5.333333333333333,0.0
9,12.2,30.2,4.666666666666667,5.533333333333333,4.6,1.1578947368666666
10,6.3125,14.53125,1.53125,3.3125,2.34375,16.44572368428125
11,13.764705882352942,32.470588235294116,5.0,6.9411764705882355,5.117647058823529,0.0
12,6.285714285714286,18.0,3.142857142857143,4.714285714285714,2.2857142857142856,2.9774436095714285
13,8.5,23.5,3.8846153846153846,4.615384615384615,3.1923076923076925,1.1356275304999999
14,6.909090909090909,14.454545454545455,2.1818181818181817,3.4545454545454546,1.9090909090909092,10.421052631272728
15,12.4375,31.3125,4.9375,7.0625,5.0,0.0
16,13.666666666666666,31.666666666666668,5.0,7.0,4.666666666666667,0.0
17,13.65,32.2,4.8,6.8,5.2,0.0
18,9.5,26.428571428571427,3.9285714285714284,5.071428571428571,3.2857142857142856,0.12406015035714286
19,8.333333333333334,24.555555555555557,4.111111111111111,4.0,3.111111111111111,2.122807017777778
20,11.222222222222221,29.22222222222222,4.888888888888889,6.222222222222222,4.444444444444445,0.0
21,10.34375,27.78125,4.09375,5.3125,3.40625,1.139802631625
22,9.757575757575758,27.242424242424242,3.909090909090909,5.212121212121212,3.757575757575758,1.4210526316969698
23,10.0,27.466666666666665,4.2,4.333333333333333,3.3333333333333335,2.431578947466667
24,10.636363636363637,27.545454545454547,4.2727272727272725,4.0,3.909090909090909,4.736842105545455
25,10.0,26.0,3.0,3.0,3.0,0.0
26,11.090909090909092,30.363636363636363,4.636363636363637,5.909090909090909,3.6363636363636362,0.1578947368181818
27,9.0,23.0,4.5,3.5,2.5,0.0
28,8.615384615384615,22.923076923076923,4.0,4.923076923076923,3.076923076923077,0.5344129554615384
29,7.142857142857143,18.142857142857142,2.857142857142857,3.642857142857143,2.357142857142857,7.815789473
30,9.851851851851851,26.85185185185185,4.37037037037037,5.148148148148148,3.4074074074074074,2.766081871111111
31,5.0,14.0,3.0,4.0,3.0,45.15789474
32,7.666666666666667,23.5,4.666666666666667,4.166666666666667,3.1666666666666665,1.7368421051666667
33,13.2,32.2,4.8,6.0,4.6,0.0
