IDCode,index,narrative_gmm_bic_best_label,narrative_gmm_aicc_best_label,narrative_best_label
maxy370,247,6,2,2
ryko512,248,8,3,3
kula014,249,0,3,3
jeqy595,250,5,4,4
guva627,251,4,5,5
lohy238,252,4,5,5
cobi870,253,6,2,2
giki066,254,7,6,6
hywy001,255,1,0,0
feji918,256,0,3,3
luli756,257,4,5,5
wumu083,258,8,3,3
cyga680,259,1,6,6
buvy316,260,0,3,3
rejy122,261,0,3,3
dusi300,262,0,3,3
howe436,263,0,3,3
ropi792,264,7,6,6
jemy300,265,7,6,6
qexo432,266,4,5,5
kyso927,267,3,0,0
cozi663,268,9,1,1
vani542,269,3,0,0
kaxu871,270,6,2,2
moku835,271,7,6,6
cahe192,272,1,6,6
feso129,273,7,6,6
tufa140,274,7,6,6
zigi489,275,9,1,1
dahi696,276,1,6,6
quhe482,277,9,1,1
taxa827,278,1,0,0
vuga321,279,4,5,5
nycu731,280,1,6,6
raxy329,281,3,0,0
nyfe489,282,4,5,5
texu966,283,1,0,0
kifo712,284,1,0,0
pajo050,285,3,0,0
hefy659,286,1,0,0
tujy672,287,1,6,6
cyfe247,288,9,1,1
xori482,289,1,0,0
raje697,290,0,3,3
biwu043,291,4,5,5
cylu852,292,0,3,3
fode209,293,0,3,3
woju333,294,3,0,0
saca329,295,6,2,2
jizi110,296,6,2,2
vyxi492,297,8,6,6
xehy451,298,0,3,3
feke878,299,0,3,3
rozu771,300,0,3,3
duvi856,301,4,5,5
nexu635,302,6,2,2
cozi454,303,0,3,3
saze236,304,0,3,3
quzy338,305,0,3,3
lula174,306,4,5,5
buzo685,307,6,2,2
huby293,308,8,3,3
dyhi182,309,0,3,3
tatu362,310,0,3,3
bene344,311,6,2,2
keho061,312,6,2,2
vyxy108,313,6,2,2
zusa663,314,6,2,2
nehe056,315,8,6,6
myve834,316,8,6,6
tyhy481,317,0,3,3
sati762,318,6,2,2
biku776,319,6,2,2
wify666,320,4,5,5
sony276,321,6,2,2
tusi463,322,6,2,2
baco446,323,5,4,4
coni238,324,4,5,5
tuvu087,325,5,4,4
vuci475,326,4,5,5
seto741,327,9,1,1
jewe923,328,4,5,5
jaqy340,329,6,2,2
pubu440,330,9,1,1
gyjy255,331,4,5,5
zyte492,332,3,6,6
ruco451,333,6,2,2
loda300,334,1,0,0
moly152,335,5,4,4
cuba307,336,6,2,2
jupo405,337,5,4,4
xuke183,338,1,0,0
mado232,339,2,1,1
zafy372,340,4,5,5
gyly160,341,1,0,0
tapi010,342,9,1,1
gelu604,343,7,6,6
qiqi041,344,4,5,5
ratu271,345,3,0,0
kyqu130,346,1,6,6
lucu601,347,1,6,6
kama922,348,6,2,2
zoma564,349,1,0,0
puju088,350,0,3,3
jufy997,351,0,3,3
wyja070,352,6,2,2
dasy955,353,1,0,0
wyki565,354,1,0,0
garu074,355,1,6,6
qyxy586,356,6,2,2
kegi864,357,8,6,6
gyge774,358,3,0,0
vyda893,359,9,1,1
vuvy608,360,6,2,2
vizo712,361,1,0,0
givi158,362,0,3,3
caro445,363,6,2,2
nene689,364,4,5,5
ryfy568,365,1,0,0
johy783,366,2,1,1
sulo956,367,0,3,3
gony054,368,6,2,2
puca767,369,0,3,3
baky109,370,5,4,4
mabo887,371,6,2,2
cona428,372,6,2,2
lilo882,373,6,2,2
gycy436,374,6,2,2
jyri631,375,0,3,3
safu128,376,8,3,3
fore104,377,6,2,2
zabe850,378,6,2,2
woci389,379,0,3,3
kygi723,380,0,3,3
qejy219,381,4,5,5
jago498,382,6,2,2
buby593,383,1,6,6
dapu822,384,0,3,3
sugu976,385,9,1,1
wuxa997,386,0,3,3
tiqy778,387,1,0,0
xyfe491,388,5,4,4
ryhy064,389,3,6,6
kufi222,390,1,0,0
xaja332,391,6,2,2
fofa613,392,9,1,1
viba035,393,5,4,4
qewy924,394,1,6,6
pytu496,395,3,0,0
tosa657,396,1,6,6
keri121,397,7,6,6
bofi991,398,6,2,2
bihi184,399,9,1,1
piro376,400,0,3,3
zejy480,401,5,4,4
zapy404,402,0,3,3
lusi512,403,0,3,3
sedo490,404,5,4,4
davu999,405,6,2,2
buby236,406,2,1,1
weru214,407,1,0,0
tyly265,408,2,1,1
nise834,409,5,4,4
voxy002,410,9,1,1
fypi681,411,6,2,2
xopa120,412,9,1,1
wari483,413,0,3,3
kegy317,414,3,0,0
geka905,415,0,3,3
lore323,416,5,4,4
vane668,417,8,3,3
zuxy510,418,9,1,1
masu336,419,1,0,0
xise560,420,6,2,2
zomi496,421,2,1,1
lilu285,422,2,1,1
heqi003,423,2,1,1
jise415,424,7,6,6
vabe169,425,4,5,5
kofa904,426,2,1,1
peqo117,427,9,1,1
gaho243,428,0,3,3
mude815,429,9,1,1
raxe285,430,1,0,0
qami382,431,6,2,2
bebo956,432,2,1,1
cofi309,433,0,3,3
buqe642,434,3,6,6
vuzo690,435,0,3,3
posy958,436,6,2,2
gaga585,437,1,0,0
vopa930,438,6,2,2
xutu412,439,4,5,5
doxi119,440,5,4,4
feqy379,441,4,5,5
xypo299,442,2,1,1
gahu141,443,7,6,6
kyse146,444,6,2,2
sedi312,445,4,5,5
nasi298,446,4,5,5
naky151,447,0,3,3
koqa816,448,4,5,5
sila763,449,4,5,5
pody147,450,3,6,6
voza333,451,4,5,5
tiro932,452,6,2,2
wujy562,453,6,2,2
hamu369,454,0,3,3
nape687,455,2,1,1
gevi782,456,0,3,3
qoha890,457,7,6,6
fili803,458,7,6,6
puce552,459,5,4,4
buny935,460,1,0,0
pimi228,461,6,2,2
kyjo289,462,0,3,3
bepo134,463,4,5,5
kise589,464,0,3,3
remi231,465,0,3,3
qyjo579,466,6,2,2
cyhu257,467,5,4,4
diha837,468,3,0,0
ware232,469,8,3,3
hyge979,470,6,2,2
biqe951,471,4,5,5
jide437,472,4,5,5
zipu412,473,1,0,0
vate767,474,3,0,0
mefy253,475,0,3,3
qafe413,476,9,1,1
lota555,477,9,1,1
mecu237,478,6,2,2
cidy099,479,7,6,6
xoba600,480,3,6,6
joce161,481,9,1,1
kywu572,482,7,6,6
jefi901,483,1,6,6
mari840,484,6,2,2
nypy058,485,1,0,0
rino885,486,1,0,0
maju644,487,2,1,1
qosy291,488,1,0,0
posy537,489,7,6,6
xoki390,490,2,1,1
fagi164,491,5,4,4
zozy719,492,6,2,2
bopa107,493,1,6,6
jyly989,494,1,0,0
togu404,495,4,5,5
gosa272,496,6,2,2
fovo989,497,3,6,6
sira606,498,4,5,5
loby351,499,6,2,2
fike806,500,1,0,0
fafe171,501,2,1,1
zyvo780,502,4,5,5
xune455,503,3,0,0
vamu972,504,8,6,6
suzo040,505,0,3,3
wype120,506,3,0,0
jicu869,507,4,5,5
wero373,508,4,5,5
juqo313,509,1,6,6
vexo008,510,2,1,1
punu787,511,2,1,1
tomo782,512,5,4,4
cupe992,513,5,4,4
kyjo535,514,1,0,0
raja244,515,6,2,2
pino324,516,0,3,3
qutu379,517,2,1,1
nolu547,518,0,3,3
cape571,519,5,4,4
coma628,520,0,3,3
mida684,521,8,6,6
gaqe214,522,1,6,6
pufe463,523,8,6,6
fifa517,524,7,6,6
wuzy577,525,7,6,6
sire515,526,8,6,6
xyhi085,527,7,6,6
nexy906,528,7,6,6
pyzi618,529,8,6,6
muku118,530,1,0,0
kewi488,531,1,0,0
xafu780,532,9,1,1
wowy820,533,2,1,1
ryzo168,534,6,2,2
xavy753,535,2,1,1
deje129,536,2,1,1
