Model Name,"Internal
Score ↑","ARI (vs Numeric)
Score ↑","Mean Eta^2
Score ↑",Composite ↑
Strategy C + MiniLM (K=8),0.9204604610450652,0.9265477439664219,0.9463166144200628,0.9311082731438499
Strategy C + MPNet (K=7),0.8830518253469819,1.0,0.8550156739811913,0.9126891664427244
Strategy B + MiniLM (K=6),0.7392173745846077,0.963273871983211,0.9529780564263324,0.8851564343313837
Strategy B + MPNet (K=10),0.8179254203530215,0.7492130115424974,1.0,0.8557128106318397
Numeric Baseline (K=5),0.41397338821954904,0.963273871983211,0.776554888696491,0.7179340496330837
Strategy A + MiniLM (K=10),0.2277707847756046,0.3289611752360966,0.25,0.26891065333723374
Strategy A + MPNet (K=9),0.2286053365466806,0.17051416579223505,0.10677899686520377,0.1686328330680398
