IDCode,index,narrative_gmm_bic_best_label,narrative_gmm_aicc_best_label,narrative_best_label
maxy370,247,4,4,4
ryko512,248,7,3,3
kula014,249,4,4,4
jeqy595,250,1,5,5
guva627,251,3,2,2
lohy238,252,7,3,3
cobi870,253,2,4,4
giki066,254,6,3,3
hywy001,255,3,2,2
feji918,256,4,4,4
luli756,257,3,2,2
wumu083,258,7,3,3
cyga680,259,3,2,2
buvy316,260,2,4,4
rejy122,261,4,4,4
dusi300,262,4,4,4
howe436,263,4,4,4
ropi792,264,6,3,3
jemy300,265,6,3,3
qexo432,266,3,2,2
kyso927,267,4,4,4
cozi663,268,5,1,1
vani542,269,2,4,4
kaxu871,270,4,4,4
moku835,271,6,3,3
cahe192,272,3,2,2
feso129,273,6,3,3
tufa140,274,6,3,3
zigi489,275,5,1,1
dahi696,276,3,2,2
quhe482,277,5,1,1
taxa827,278,3,2,2
vuga321,279,3,2,2
nycu731,280,3,2,2
raxy329,281,2,4,4
nyfe489,282,7,3,3
texu966,283,0,0,0
kifo712,284,0,0,0
pajo050,285,2,4,4
hefy659,286,0,0,0
tujy672,287,3,2,2
cyfe247,288,5,1,1
xori482,289,3,2,2
raje697,290,4,4,4
biwu043,291,3,2,2
cylu852,292,2,4,4
fode209,293,2,4,4
woju333,294,2,4,4
saca329,295,4,4,4
jizi110,296,2,4,4
vyxi492,297,7,3,3
xehy451,298,2,4,4
feke878,299,0,0,0
rozu771,300,2,4,4
duvi856,301,7,3,3
nexu635,302,2,4,4
cozi454,303,0,0,0
saze236,304,2,4,4
quzy338,305,2,4,4
lula174,306,7,3,3
buzo685,307,0,0,0
huby293,308,7,3,3
dyhi182,309,2,4,4
tatu362,310,4,4,4
bene344,311,2,4,4
keho061,312,0,0,0
vyxy108,313,2,4,4
zusa663,314,4,4,4
nehe056,315,7,3,3
myve834,316,7,3,3
tyhy481,317,0,0,0
sati762,318,2,4,4
biku776,319,0,0,0
wify666,320,7,3,3
sony276,321,4,4,4
tusi463,322,2,4,4
baco446,323,5,1,1
coni238,324,3,2,2
