narrative_best_label,S1,S2,S3,S4,S5,Missing_total
0,11.463414634146341,29.804878048780488,4.585365853658536,5.609756097560975,4.341463414634147,1.7792041078048781
1,9.862068965517242,27.224137931034484,4.137931034482759,5.051724137931035,3.189655172413793,1.617059891
2,6.352941176470588,15.470588235294118,1.8431372549019607,3.450980392156863,2.1372549019607843,17.47058823547059
3,13.64,32.32,4.96,6.76,4.96,0.0
4,7.277777777777778,17.72222222222222,2.361111111111111,4.0,1.8333333333333333,13.171052631555556
5,10.033898305084746,26.576271186440678,4.169491525423729,5.0508474576271185,3.7966101694915255,1.7957181088983052
6,13.2,31.7,4.85,6.8,5.2,0.0
7,8.347826086956522,23.652173913043477,4.086956521739131,4.478260869565218,3.0434782608695654,1.2837528605652173
8,11.523809523809524,29.5,4.690476190476191,6.0476190476190474,4.5,0.9511278194761904
9,11.029411764705882,30.205882352941178,4.5,5.764705882352941,3.676470588235294,0.153250774
10,9.977272727272727,27.318181818181817,4.0,4.909090909090909,3.7954545454545454,2.250000000159091
11,6.119047619047619,15.857142857142858,2.2857142857142856,4.0,2.1666666666666665,14.018796992547617
12,8.1875,24.25,4.25,4.0,3.125,1.8453947369375001
13,13.5,32.17857142857143,4.892857142857143,6.535714285714286,5.142857142857143,0.0
14,8.833333333333334,22.833333333333332,3.7777777777777777,4.888888888888889,3.2222222222222223,0.3859649122777778
