gmm_bic_best_label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,2,27,0,0,0,28,0,10,0,1,18,0,13,0,14
1,11,0,0,25,0,0,17,0,18,1,0,0,0,28,0
2,0,0,24,0,10,0,0,0,0,0,0,17,0,0,0
3,28,14,0,0,0,31,0,0,24,17,25,0,0,0,0
4,0,0,27,0,26,0,0,3,0,0,1,22,3,0,4
5,0,17,0,0,0,0,3,10,0,15,0,3,0,0,0
