gmm_aicc_best_label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,36,0,0,8,18,9,10,10,16,0,9,1,1,8
1,15,0,29,3,11,11,0,0,4,0,28,0,13,0,9
2,0,0,22,0,17,2,0,0,0,0,0,31,0,0,0
3,26,1,0,22,0,27,2,0,28,0,16,0,2,27,1
4,0,21,0,0,0,1,9,13,0,18,0,2,0,0,0
