IDCode,kmeans_label,agglomerative_label,birch_label,gmm_label,gmm_bic_best_label,gmm_aic_best_label,gmm_aicc_best_label,best_overall_label
vyzo298,1,0,0,0,3,3,3,0
hiwu589,0,0,0,0,4,7,4,0
sazy810,1,0,0,0,3,9,3,0
turi097,1,1,0,0,1,8,1,0
foji729,1,0,0,0,3,3,3,0
dexe201,1,0,0,0,3,9,3,0
dosu709,1,0,0,0,0,4,0,0
doxe392,0,0,0,0,4,7,4,0
culu497,1,0,0,0,0,0,0,0
lije367,1,0,0,0,4,6,4,0
vice024,1,0,0,0,1,3,1,0
kapy740,1,0,0,0,3,2,3,0
vudi262,0,1,0,0,1,8,1,0
tuza510,0,0,0,0,0,9,0,0
tubo945,1,0,0,0,3,2,3,0
bofi323,1,0,0,0,0,0,0,0
zeji633,0,1,1,1,2,5,2,1
bowo488,0,1,0,0,0,4,0,0
pipo687,0,1,1,1,2,5,2,1
core934,1,0,0,0,4,6,4,0
dedu084,0,1,0,1,2,1,2,0
lowa532,0,1,1,1,2,4,2,1
zuha759,0,1,1,1,2,4,2,1
qafu966,0,1,1,1,2,5,2,1
lobo127,1,0,0,0,0,0,0,0
homa046,0,0,0,1,2,7,2,0
keno764,0,1,0,0,1,8,1,0
habe142,1,0,0,0,3,9,3,0
joti731,1,0,0,0,3,3,3,0
reve265,1,0,0,0,1,3,1,0
cyca115,1,0,0,0,3,9,3,0
rawo522,1,0,0,0,3,2,3,0
pogi169,1,0,0,0,4,6,4,0
vepi727,1,0,0,0,1,1,1,0
risy585,1,1,0,0,1,3,1,0
fefu774,1,0,0,0,3,9,3,0
wyxo615,1,0,0,0,0,0,0,0
ciby707,1,0,0,0,4,7,4,0
xuvy948,1,0,0,0,4,6,4,0
ravy196,1,0,0,0,3,9,3,0
loge702,1,0,0,0,3,9,3,0
viry492,1,0,0,0,0,1,0,0
gowa049,1,0,0,0,0,0,0,0
vyva107,1,0,0,0,3,9,3,0
duxo262,1,0,0,0,3,9,3,0
peto053,1,0,0,0,3,9,3,0
difi858,1,0,0,0,3,9,3,0
xoru423,1,0,0,0,0,1,0,0
wizy437,1,0,0,0,0,0,0,0
kuge219,1,0,0,0,4,6,4,0
hazu473,1,0,0,0,0,9,0,0
gono087,1,0,0,0,3,4,3,0
vury347,1,0,0,0,3,9,3,0
copo281,0,1,1,1,2,4,2,1
heda014,1,0,0,0,0,0,0,0
powu461,1,0,0,0,3,2,3,0
peqa279,1,0,0,0,3,9,3,0
lufy687,0,0,0,0,4,7,4,0
koze985,1,0,0,0,3,0,3,0
hadi890,1,0,0,0,1,9,1,0
recu163,1,0,0,0,4,6,4,0
xyzi642,1,0,0,0,4,6,4,0
nejy388,0,0,0,0,4,7,4,0
tezy480,1,0,0,0,3,3,3,0
nawu690,1,0,0,0,1,1,1,0
mofe780,0,0,0,0,4,7,4,0
nily317,0,0,0,0,2,7,2,0
roho333,0,0,0,0,2,4,2,0
xime971,0,1,0,0,2,8,2,0
muqo157,0,0,0,0,0,0,0,0
riby296,0,1,0,0,1,9,1,0
pala257,1,0,0,0,3,2,3,0
tuby409,1,0,0,0,1,9,1,0
hoxo855,0,0,0,0,0,4,0,0
qixy634,1,0,0,0,4,6,4,0
