IDCode,narrative_text
kojo378,Accuracy low (45.61%); speed fast (13.20s); timing stable (var=110.96); correct streak short (5); incorrect streak long (12); consecutive correct rare (0.27).
tepu554,Accuracy medium (82.46%); speed moderate (18.45s); timing stable (var=101.47); correct streak long (20); incorrect streak short (3); consecutive correct frequent (0.71).
dyva324,Accuracy low (45.61%); speed moderate (16.97s); timing moderately variable (var=163.85); correct streak short (6); incorrect streak long (5); consecutive correct rare (0.25).
pusu302,Accuracy low (24.56%); speed slow (22.39s); timing highly variable (var=851.71); correct streak short (4); incorrect streak long (26); consecutive correct rare (0.14).
xamy888,Accuracy medium (64.91%); speed moderate (15.67s); timing stable (var=109.51); correct streak short (8); incorrect streak moderate (4); consecutive correct rare (0.43).
ninu744,Accuracy low (38.60%); speed fast (13.39s); timing stable (var=68.46); correct streak short (8); incorrect streak long (13); consecutive correct rare (0.25).
punu537,Accuracy medium (66.67%); speed fast (12.13s); timing stable (var=95.69); correct streak moderate (12); incorrect streak long (5); consecutive correct occasional (0.54).
zufa556,Accuracy low (21.05%); speed moderate (17.22s); timing stable (var=106.85); correct streak short (4); incorrect streak long (16); consecutive correct rare (0.09).
losy787,Accuracy low (42.11%); speed slow (23.35s); timing highly variable (var=521.61); correct streak moderate (13); incorrect streak long (26); consecutive correct rare (0.34).
fuxa711,Accuracy low (57.89%); speed moderate (17.50s); timing moderately variable (var=192.22); correct streak short (11); incorrect streak long (6); consecutive correct rare (0.41).
myzo000,Accuracy medium (73.68%); speed slow (22.66s); timing highly variable (var=404.25); correct streak moderate (15); incorrect streak moderate (4); consecutive correct occasional (0.61).
jygo886,Accuracy low (47.37%); speed slow (20.81s); timing moderately variable (var=264.84); correct streak short (5); incorrect streak long (5); consecutive correct rare (0.27).
dyzo734,Accuracy low (8.77%); speed fast (13.90s); timing moderately variable (var=162.07); correct streak short (2); incorrect streak long (30); consecutive correct rare (0.02).
ciky680,Accuracy medium (82.46%); speed slow (21.88s); timing moderately variable (var=176.86); correct streak long (20); incorrect streak short (3); consecutive correct frequent (0.71).
