template_version,cluster_label,outcome,f_statistic,df_between,df_within,p_value,eta_squared
B,narrative_best_label,S1,79.96550962941913,9,527,1.1102230246251565e-16,0.5772804989814138
B,narrative_best_label,S2,168.07973486294574,9,527,1.1102230246251565e-16,0.741630902021359
B,narrative_best_label,S3,64.83099223055005,9,527,1.1102230246251565e-16,0.5254299872538502
B,narrative_best_label,S4,29.745768535150827,9,527,1.1102230246251565e-16,0.3368666194019342
B,narrative_best_label,S5,34.50552269379569,9,527,1.1102230246251565e-16,0.37078361161193873
