IDCode,index,narrative_gmm_bic_best_label,narrative_gmm_aicc_best_label,narrative_best_label
maxy370,247,5,5,5
ryko512,248,0,0,0
kula014,249,5,5,5
jeqy595,250,4,4,4
guva627,251,3,3,3
lohy238,252,0,0,0
cobi870,253,1,1,1
giki066,254,8,8,8
hywy001,255,7,7,7
feji918,256,5,5,5
luli756,257,3,3,3
wumu083,258,0,0,0
cyga680,259,3,3,3
buvy316,260,1,1,1
rejy122,261,5,5,5
dusi300,262,5,5,5
howe436,263,5,5,5
ropi792,264,8,8,8
jemy300,265,8,8,8
qexo432,266,7,7,7
kyso927,267,5,5,5
cozi663,268,2,2,2
vani542,269,1,1,1
kaxu871,270,5,5,5
moku835,271,8,8,8
cahe192,272,3,3,3
feso129,273,8,8,8
tufa140,274,8,8,8
zigi489,275,2,2,2
dahi696,276,3,3,3
quhe482,277,2,2,2
taxa827,278,7,7,7
vuga321,279,7,7,7
nycu731,280,3,3,3
raxy329,281,1,1,1
nyfe489,282,0,0,0
texu966,283,6,6,6
kifo712,284,6,6,6
pajo050,285,1,1,1
hefy659,286,6,6,6
tujy672,287,3,3,3
cyfe247,288,2,2,2
xori482,289,7,7,7
raje697,290,5,5,5
biwu043,291,7,7,7
cylu852,292,1,1,1
fode209,293,1,1,1
woju333,294,1,1,1
saca329,295,5,5,5
jizi110,296,1,1,1
vyxi492,297,0,0,0
xehy451,298,1,1,1
feke878,299,9,9,9
rozu771,300,1,1,1
duvi856,301,0,0,0
nexu635,302,1,1,1
cozi454,303,9,9,9
saze236,304,1,1,1
quzy338,305,1,1,1
lula174,306,0,0,0
buzo685,307,9,9,9
huby293,308,0,0,0
dyhi182,309,1,1,1
tatu362,310,5,5,5
bene344,311,1,1,1
keho061,312,9,9,9
vyxy108,313,1,1,1
zusa663,314,5,5,5
nehe056,315,0,0,0
myve834,316,0,0,0
tyhy481,317,9,9,9
sati762,318,1,1,1
biku776,319,9,9,9
wify666,320,0,0,0
sony276,321,5,5,5
tusi463,322,1,1,1
baco446,323,2,2,2
coni238,324,3,3,3
tuvu087,325,2,2,2
vuci475,326,7,7,7
seto741,327,2,2,2
jewe923,328,3,3,3
jaqy340,329,1,1,1
pubu440,330,2,2,2
gyjy255,331,7,7,7
zyte492,332,5,5,5
ruco451,333,1,1,1
loda300,334,7,7,7
moly152,335,2,2,2
cuba307,336,1,1,1
jupo405,337,2,2,2
xuke183,338,7,7,7
mado232,339,4,4,4
zafy372,340,8,8,8
gyly160,341,6,6,6
tapi010,342,2,2,2
gelu604,343,8,8,8
qiqi041,344,7,7,7
ratu271,345,1,1,1
kyqu130,346,3,3,3
lucu601,347,3,3,3
kama922,348,1,1,1
zoma564,349,7,7,7
puju088,350,1,1,1
jufy997,351,5,5,5
wyja070,352,1,1,1
dasy955,353,7,7,7
wyki565,354,6,6,6
garu074,355,3,3,3
qyxy586,356,5,5,5
kegi864,357,0,0,0
gyge774,358,1,1,1
vyda893,359,2,2,2
vuvy608,360,5,5,5
vizo712,361,7,7,7
givi158,362,9,9,9
caro445,363,5,5,5
nene689,364,0,0,0
ryfy568,365,6,6,6
johy783,366,4,4,4
sulo956,367,9,9,9
gony054,368,5,5,5
puca767,369,1,1,1
baky109,370,2,2,2
mabo887,371,1,1,1
cona428,372,5,5,5
lilo882,373,1,1,1
gycy436,374,1,1,1
jyri631,375,5,5,5
safu128,376,0,0,0
fore104,377,5,5,5
zabe850,378,5,5,5
woci389,379,1,1,1
kygi723,380,5,5,5
qejy219,381,0,0,0
jago498,382,5,5,5
buby593,383,3,3,3
dapu822,384,5,5,5
sugu976,385,2,2,2
wuxa997,386,1,1,1
tiqy778,387,7,7,7
xyfe491,388,4,4,4
ryhy064,389,5,5,5
kufi222,390,7,7,7
xaja332,391,1,1,1
fofa613,392,2,2,2
viba035,393,4,4,4
qewy924,394,3,3,3
pytu496,395,1,1,1
tosa657,396,3,3,3
keri121,397,8,8,8
bofi991,398,9,9,9
bihi184,399,2,2,2
piro376,400,1,1,1
zejy480,401,4,4,4
zapy404,402,9,9,9
lusi512,403,1,1,1
sedo490,404,2,2,2
davu999,405,1,1,1
buby236,406,4,4,4
weru214,407,7,7,7
tyly265,408,4,4,4
nise834,409,4,4,4
voxy002,410,2,2,2
fypi681,411,1,1,1
xopa120,412,2,2,2
wari483,413,1,1,1
kegy317,414,1,1,1
geka905,415,1,1,1
lore323,416,2,2,2
vane668,417,0,0,0
zuxy510,418,2,2,2
masu336,419,7,7,7
xise560,420,1,1,1
zomi496,421,4,4,4
lilu285,422,4,4,4
heqi003,423,4,4,4
jise415,424,8,8,8
vabe169,425,0,0,0
kofa904,426,4,4,4
peqo117,427,2,2,2
gaho243,428,1,1,1
mude815,429,2,2,2
raxe285,430,7,7,7
qami382,431,5,5,5
bebo956,432,4,4,4
cofi309,433,5,5,5
buqe642,434,5,5,5
