IDCode,index,narrative_gmm_bic_best_label,narrative_gmm_aicc_best_label,narrative_best_label
maxy370,247,1,3,3
ryko512,248,1,3,3
kula014,249,1,3,3
jeqy595,250,1,7,7
guva627,251,1,7,7
lohy238,252,1,5,5
cobi870,253,1,2,2
giki066,254,1,5,5
hywy001,255,1,2,2
feji918,256,1,2,2
luli756,257,1,3,3
wumu083,258,1,5,5
cyga680,259,1,7,7
buvy316,260,1,2,2
rejy122,261,1,3,3
dusi300,262,1,3,3
howe436,263,1,2,2
ropi792,264,1,3,3
jemy300,265,1,3,3
qexo432,266,1,7,7
kyso927,267,1,7,7
cozi663,268,1,2,2
vani542,269,1,3,3
kaxu871,270,1,2,2
moku835,271,1,2,2
cahe192,272,0,4,4
feso129,273,1,7,7
tufa140,274,1,2,2
zigi489,275,1,2,2
dahi696,276,1,7,7
quhe482,277,1,3,3
taxa827,278,1,3,3
vuga321,279,1,3,3
nycu731,280,1,7,7
raxy329,281,1,7,7
nyfe489,282,1,2,2
texu966,283,1,2,2
kifo712,284,1,7,7
pajo050,285,1,5,5
hefy659,286,1,3,3
tujy672,287,1,3,3
cyfe247,288,1,2,2
xori482,289,1,7,7
raje697,290,1,3,3
biwu043,291,1,3,3
cylu852,292,1,5,5
fode209,293,1,2,2
woju333,294,1,2,2
saca329,295,1,5,5
jizi110,296,1,7,7
vyxi492,297,1,5,5
xehy451,298,1,2,2
feke878,299,0,8,8
rozu771,300,1,5,5
duvi856,301,0,8,8
nexu635,302,0,8,8
cozi454,303,0,6,6
saze236,304,1,2,2
quzy338,305,1,2,2
lula174,306,1,3,3
buzo685,307,0,4,4
huby293,308,1,5,5
dyhi182,309,1,2,2
tatu362,310,1,3,3
bene344,311,1,5,5
keho061,312,1,7,7
vyxy108,313,1,3,3
zusa663,314,0,6,6
nehe056,315,1,5,5
myve834,316,1,5,5
tyhy481,317,1,3,3
sati762,318,1,5,5
biku776,319,1,2,2
wify666,320,1,2,2
sony276,321,1,7,7
tusi463,322,1,5,5
baco446,323,0,8,8
coni238,324,1,5,5
tuvu087,325,1,5,5
vuci475,326,1,3,3
seto741,327,1,7,7
jewe923,328,1,5,5
jaqy340,329,1,2,2
pubu440,330,0,1,1
gyjy255,331,1,2,2
zyte492,332,1,5,5
ruco451,333,1,2,2
loda300,334,1,2,2
moly152,335,1,3,3
cuba307,336,1,2,2
jupo405,337,1,2,2
xuke183,338,1,3,3
mado232,339,1,7,7
zafy372,340,1,7,7
gyly160,341,1,7,7
tapi010,342,1,3,3
gelu604,343,1,7,7
qiqi041,344,1,2,2
ratu271,345,1,3,3
kyqu130,346,1,3,3
lucu601,347,1,3,3
kama922,348,1,5,5
zoma564,349,1,7,7
puju088,350,1,2,2
jufy997,351,1,7,7
wyja070,352,1,2,2
dasy955,353,1,3,3
wyki565,354,1,3,3
garu074,355,1,7,7
qyxy586,356,1,2,2
kegi864,357,1,3,3
gyge774,358,1,3,3
vyda893,359,1,3,3
vuvy608,360,1,3,3
vizo712,361,0,7,7
givi158,362,1,5,5
caro445,363,1,2,2
nene689,364,1,5,5
ryfy568,365,1,3,3
johy783,366,1,5,5
sulo956,367,1,5,5
gony054,368,1,3,3
puca767,369,1,2,2
baky109,370,1,2,2
mabo887,371,1,5,5
cona428,372,1,3,3
lilo882,373,1,7,7
gycy436,374,1,3,3
jyri631,375,1,5,5
safu128,376,1,3,3
fore104,377,1,5,5
zabe850,378,1,7,7
woci389,379,1,3,3
kygi723,380,1,7,7
qejy219,381,1,2,2
jago498,382,1,5,5
buby593,383,1,3,3
dapu822,384,1,5,5
sugu976,385,1,3,3
wuxa997,386,0,6,6
tiqy778,387,1,3,3
xyfe491,388,1,3,3
ryhy064,389,1,3,3
kufi222,390,1,3,3
xaja332,391,1,5,5
fofa613,392,0,2,2
viba035,393,1,3,3
qewy924,394,1,7,7
pytu496,395,1,3,3
tosa657,396,1,3,3
keri121,397,1,2,2
bofi991,398,1,7,7
bihi184,399,1,8,8
piro376,400,1,2,2
zejy480,401,0,8,8
zapy404,402,1,3,3
lusi512,403,1,3,3
sedo490,404,1,3,3
davu999,405,1,3,3
buby236,406,0,6,6
weru214,407,1,3,3
tyly265,408,0,6,6
nise834,409,1,3,3
voxy002,410,1,7,7
fypi681,411,0,4,4
xopa120,412,1,2,2
wari483,413,1,3,3
kegy317,414,1,2,2
geka905,415,1,2,2
lore323,416,1,1,1
vane668,417,1,5,5
zuxy510,418,1,3,3
masu336,419,1,2,2
xise560,420,1,7,7
zomi496,421,1,5,5
lilu285,422,1,2,2
heqi003,423,1,3,3
jise415,424,1,2,2
vabe169,425,1,2,2
kofa904,426,1,3,3
peqo117,427,1,3,3
gaho243,428,1,2,2
mude815,429,1,2,2
raxe285,430,1,2,2
qami382,431,1,3,3
bebo956,432,1,3,3
cofi309,433,1,2,2
buqe642,434,1,3,3
vuzo690,435,0,8,8
posy958,436,1,3,3
gaga585,437,1,3,3
vopa930,438,1,2,2
xutu412,439,1,5,5
doxi119,440,0,1,1
feqy379,441,1,3,3
xypo299,442,1,3,3
gahu141,443,1,5,5
kyse146,444,1,5,5
sedi312,445,0,7,7
nasi298,446,1,3,3
naky151,447,0,1,1
koqa816,448,1,2,2
sila763,449,1,5,5
pody147,450,1,3,3
voza333,451,1,3,3
tiro932,452,1,3,3
wujy562,453,0,7,7
hamu369,454,1,5,5
nape687,455,0,1,1
gevi782,456,1,2,2
qoha890,457,0,7,7
fili803,458,1,2,2
puce552,459,1,7,7
buny935,460,1,7,7
pimi228,461,1,2,2
kyjo289,462,1,3,3
bepo134,463,1,2,2
kise589,464,1,2,2
remi231,465,1,3,3
qyjo579,466,1,7,7
cyhu257,467,1,3,3
diha837,468,1,7,7
ware232,469,1,5,5
hyge979,470,1,5,5
biqe951,471,1,7,7
jide437,472,1,7,7
zipu412,473,1,2,2
vate767,474,1,2,2
mefy253,475,1,5,5
qafe413,476,1,2,2
lota555,477,1,7,7
mecu237,478,1,5,5
cidy099,479,1,3,3
xoba600,480,1,5,5
joce161,481,1,3,3
kywu572,482,1,3,3
jefi901,483,1,5,5
mari840,484,1,2,2
nypy058,485,1,7,7
rino885,486,1,3,3
maju644,487,0,1,1
qosy291,488,1,7,7
posy537,489,1,5,5
xoki390,490,0,8,8
fagi164,491,1,7,7
zozy719,492,1,2,2
bopa107,493,1,3,3
jyly989,494,1,3,3
togu404,495,1,7,7
gosa272,496,1,3,3
fovo989,497,1,3,3
sira606,498,1,3,3
loby351,499,1,2,2
fike806,500,1,2,2
fafe171,501,1,2,2
zyvo780,502,1,3,3
xune455,503,0,1,1
vamu972,504,1,2,2
suzo040,505,1,5,5
wype120,506,1,3,3
jicu869,507,1,3,3
wero373,508,1,5,5
juqo313,509,1,3,3
vexo008,510,1,3,3
punu787,511,1,5,5
tomo782,512,0,3,3
cupe992,513,0,6,6
kyjo535,514,1,3,3
raja244,515,1,2,2
pino324,516,1,5,5
qutu379,517,1,5,5
nolu547,518,1,7,7
cape571,519,1,2,2
coma628,520,1,7,7
mida684,521,1,5,5
gaqe214,522,1,7,7
pufe463,523,1,5,5
fifa517,524,1,5,5
wuzy577,525,1,7,7
sire515,526,1,5,5
xyhi085,527,1,3,3
nexy906,528,1,5,5
pyzi618,529,1,5,5
muku118,530,1,7,7
kewi488,531,0,8,8
xafu780,532,0,8,8
wowy820,533,1,1,1
ryzo168,534,1,2,2
xavy753,535,1,5,5
deje129,536,1,2,2
