gmm_aic_best_label,0,1,2,3,4,5,6,7,8,9
0,0,3,10,1,0,14,0,18,0,3
1,1,2,1,1,1,9,2,9,0,0
2,0,0,5,0,0,9,0,13,1,4
3,0,0,0,2,0,3,0,5,0,0
4,1,0,12,0,0,14,0,14,0,1
5,0,3,9,1,0,3,0,23,0,4
6,0,3,0,1,0,1,0,5,1,1
7,2,0,9,0,1,20,1,13,0,2
8,2,1,1,4,0,19,0,6,1,0
9,1,5,6,0,0,6,1,10,0,1
10,1,2,18,1,2,8,2,34,1,5
11,4,3,1,1,1,14,0,13,1,2
12,0,1,11,1,0,19,0,10,0,2
13,0,1,0,0,0,8,0,7,2,2
14,1,4,6,1,0,14,0,6,1,0
