narrative_best_label,S1,S2,S3,S4,S5,Missing_total
0,8.153846153846153,21.615384615384617,3.230769230769231,4.076923076923077,2.6153846153846154,10.15384615476923
1,8.785714285714286,25.464285714285715,3.857142857142857,5.107142857142857,3.2142857142857144,2.357142857464286
2,11.101123595505618,28.9438202247191,4.595505617977528,4.98876404494382,4.01123595505618,0.7220579538876404
3,7.714285714285714,19.642857142857142,3.0,4.142857142857143,2.2857142857142856,16.87218045092857
4,8.0,23.8,4.0,4.8,2.4,2.0842105264
5,8.652173913043478,22.51552795031056,3.341614906832298,4.571428571428571,3.099378881987578,4.97319385416149
6,10.666666666666666,28.0,3.6666666666666665,5.833333333333333,5.0,0.0
7,10.451612903225806,26.537634408602152,4.016129032258065,5.60752688172043,3.8010752688172045,4.986417657080645
8,6.875,17.75,2.5,4.0,2.375,2.6052631575
9,10.962962962962964,28.925925925925927,4.2592592592592595,5.555555555555555,3.8518518518518516,6.625730994148148
