gmm_bic_best_label,0,1,2,3,4,5,6,7,8,9
0,1,5,15,1,2,51,1,35,1,1
1,0,5,17,1,0,4,0,61,0,12
2,0,1,1,7,0,19,0,16,5,2
3,0,3,46,3,1,26,4,46,2,8
4,11,7,1,1,2,51,0,12,0,1
5,1,7,9,1,0,10,1,16,0,3
