Measure,F_statistic,ANOVA_p,Kruskal_H,Kruskal_p,Eta_squared,Significant_001
self_perception_1,2.3847566901812343,0.02089932391882546,13.549781810605982,0.05979339994222348,0.032245534051621075,False
self_perception_2,4.231904889362284,0.00015019362785166293,30.993712917606366,6.234011154968915e-05,0.0567906615403207,True
self_perception_4,9.527750979866438,4.15514313714778e-11,62.703712781584905,4.345289987854311e-11,0.12110941058194769,True
self_perception_5,3.298438711931368,0.0019451357786532612,11.656709853697993,0.11242846359689233,0.04562254414751325,False
self_perception_6,4.386354592087334,9.767152798376492e-05,25.274341485993197,0.0006783278285615405,0.05885416590325625,True
MEAN_PERCPT,6.393852104638769,3.20796439179691e-07,41.92498165333003,5.375805050201911e-07,0.08170953107703723,True
