narrative_gmm_aicc_best_label,S1,S2,S3,S4,S5
0,11.46808510638298,29.574468085106382,4.553191489361702,5.872340425531915,4.170212765957447
1,6.466666666666667,15.588888888888889,1.9,3.7555555555555555,2.066666666666667
2,9.4,25.470588235294116,4.129411764705883,4.976470588235294,3.4941176470588236
3,13.75438596491228,32.31578947368421,4.894736842105263,6.578947368421052,5.12280701754386
4,11.444444444444445,30.333333333333332,4.622222222222222,6.355555555555555,4.355555555555555
5,6.6923076923076925,17.692307692307693,2.6666666666666665,3.8461538461538463,2.051282051282051
6,10.39,28.12,4.33,5.11,3.87
7,9.743243243243244,26.33783783783784,4.094594594594595,4.851351351351352,3.3783783783783785
