Subject,Numeric_K4_Eta2,Narrative_K9_Eta2,Delta
S1,0.5192135960615586,0.538559161758851,0.0193455656972924
S2,0.7521420890655645,0.7129140350866381,-0.03922805397892637
S3,0.547379320181571,0.5195291494247779,-0.02785017075679308
S4,0.24763956906011908,0.3008196863632908,0.05318011730317174
S5,0.3126553552552109,0.34293067061531773,0.030275315360106858
