Cluster,Tier,S2_Mean
0,HIGH,31.3125
1,HIGH,32.130434782608695
2,HIGH,32.44117647058823
3,MEDIUM,26.57017543859649
4,MEDIUM,27.59504132231405
5,HIGH,28.12
6,LOW,16.574468085106382
7,LOW,17.692307692307693
8,LOW,14.511627906976743
