Subject,Cluster_A,Cluster_B,Mean_A,Mean_B,Cohen_d,Abs_d
S1,0,1,11.46808510638298,6.466666666666667,2.2381914185057172,2.2381914185057172
S1,0,2,11.46808510638298,9.4,1.25662518193913,1.25662518193913
S1,0,3,11.46808510638298,13.75438596491228,-1.6077637818751083,1.6077637818751083
S1,0,4,11.46808510638298,11.444444444444445,0.016068363731107975,0.016068363731107975
S1,0,5,11.46808510638298,6.6923076923076925,2.275501337969721,2.275501337969721
S1,0,6,11.46808510638298,10.39,0.5517995263250721,0.5517995263250721
S1,0,7,11.46808510638298,9.743243243243244,0.9864549182406147,0.9864549182406147
S1,1,2,6.466666666666667,9.4,-1.3196300977406497,1.3196300977406497
S1,1,3,6.466666666666667,13.75438596491228,-3.2958265005213034,3.2958265005213034
S1,1,4,6.466666666666667,11.444444444444445,-2.1736307030277726,2.1736307030277726
S1,1,5,6.466666666666667,6.6923076923076925,-0.08607668313450692,0.08607668313450692
S1,1,6,6.466666666666667,10.39,-1.6552481345907932,1.6552481345907932
S1,1,7,6.466666666666667,9.743243243243244,-1.4167333835966696,1.4167333835966696
S1,2,3,9.4,13.75438596491228,-2.6191303586124715,2.6191303586124715
S1,2,4,9.4,11.444444444444445,-1.1936277375570876,1.1936277375570876
S1,2,5,9.4,6.6923076923076925,1.274437832007271,1.274437832007271
S1,2,6,9.4,10.39,-0.4942611860652909,0.4942611860652909
S1,2,7,9.4,9.743243243243244,-0.18430803057623862,0.18430803057623862
S1,3,4,13.75438596491228,11.444444444444445,1.5242158467917628,1.5242158467917628
S1,3,5,13.75438596491228,6.6923076923076925,3.402821276974739,3.402821276974739
S1,3,6,13.75438596491228,10.39,1.7268446314632042,1.7268446314632042
S1,3,7,13.75438596491228,9.743243243243244,2.2816503798696197,2.2816503798696197
S1,4,5,11.444444444444445,6.6923076923076925,2.169543186110479,2.169543186110479
S1,4,6,11.444444444444445,10.39,0.524977915380924,0.524977915380924
S1,4,7,11.444444444444445,9.743243243243244,0.9351097409915208,0.9351097409915208
S1,5,6,6.6923076923076925,10.39,-1.5781705155628336,1.5781705155628336
S1,5,7,6.6923076923076925,9.743243243243244,-1.3553783646063116,1.3553783646063116
S1,6,7,10.39,9.743243243243244,0.3105714367345805,0.3105714367345805
S2,0,1,29.574468085106382,15.588888888888889,2.801153135210807,2.801153135210807
S2,0,2,29.574468085106382,25.470588235294116,1.6768366372969594,1.6768366372969594
S2,0,3,29.574468085106382,32.31578947368421,-1.6793112558305143,1.6793112558305143
S2,0,4,29.574468085106382,30.333333333333332,-0.4132512573619066,0.4132512573619066
S2,0,5,29.574468085106382,17.692307692307693,3.671502276123023,3.671502276123023
S2,0,6,29.574468085106382,28.12,0.5389470362666923,0.5389470362666923
S2,0,7,29.574468085106382,26.33783783783784,1.198383568172724,1.198383568172724
S2,1,2,15.588888888888889,25.470588235294116,-2.0971741338907375,2.0971741338907375
S2,1,3,15.588888888888889,32.31578947368421,-3.488268140033909,3.488268140033909
S2,1,4,15.588888888888889,30.333333333333332,-2.9309661158932614,2.9309661158932614
S2,1,5,15.588888888888889,17.692307692307693,-0.377540878719793,0.377540878719793
S2,1,6,15.588888888888889,28.12,-2.6773610297634747,2.6773610297634747
S2,1,7,15.588888888888889,26.33783783783784,-2.1822690045123774,2.1822690045123774
S2,2,3,25.470588235294116,32.31578947368421,-2.9624217527835963,2.9624217527835963
S2,2,4,25.470588235294116,30.333333333333332,-1.9709180864209115,1.9709180864209115
S2,2,5,25.470588235294116,17.692307692307693,2.333545613797238,2.333545613797238
S2,2,6,25.470588235294116,28.12,-0.9157627602050847,0.9157627602050847
S2,2,7,25.470588235294116,26.33783783783784,-0.2964407096500708,0.2964407096500708
S2,3,4,32.31578947368421,30.333333333333332,1.201343425781972,1.201343425781972
S2,3,5,32.31578947368421,17.692307692307693,4.866953454177816,4.866953454177816
S2,3,6,32.31578947368421,28.12,1.631713554439358,1.631713554439358
S2,3,7,32.31578947368421,26.33783783783784,2.347028120422323,2.347028120422323
S2,4,5,30.333333333333332,17.692307692307693,3.8580867624087345,3.8580867624087345
S2,4,6,30.333333333333332,28.12,0.8142687372547156,0.8142687372547156
S2,4,7,30.333333333333332,26.33783783783784,1.4664428770168514,1.4664428770168514
S2,5,6,17.692307692307693,28.12,-3.020459336408704,3.020459336408704
S2,5,7,17.692307692307693,26.33783783783784,-2.396293293741769,2.396293293741769
S2,6,7,28.12,26.33783783783784,0.5805032516610682,0.5805032516610682
S3,0,1,4.553191489361702,1.9,2.250005878204448,2.250005878204448
S3,0,2,4.553191489361702,4.129411764705883,0.49010965490649705,0.49010965490649705
S3,0,3,4.553191489361702,4.894736842105263,-0.6407055709490843,0.6407055709490843
S3,0,4,4.553191489361702,4.622222222222222,-0.1008171177562837,0.1008171177562837
S3,0,5,4.553191489361702,2.6666666666666665,1.7806718211589738,1.7806718211589738
S3,0,6,4.553191489361702,4.33,0.2664670214491837,0.2664670214491837
S3,0,7,4.553191489361702,4.094594594594595,0.5216956899392653,0.5216956899392653
S3,1,2,1.9,4.129411764705883,-1.9020426249618207,1.9020426249618207
S3,1,3,1.9,4.894736842105263,-2.770118036320834,2.770118036320834
S3,1,4,1.9,4.622222222222222,-2.3227717502068197,2.3227717502068197
S3,1,5,1.9,2.6666666666666665,-0.5638845883294418,0.5638845883294418
S3,1,6,1.9,4.33,-2.1408644146151365,2.1408644146151365
S3,1,7,1.9,4.094594594594595,-1.8321389135834945,1.8321389135834945
S3,2,3,4.129411764705883,4.894736842105263,-1.019173083679296,1.019173083679296
S3,2,4,4.129411764705883,4.622222222222222,-0.5808008178623922,0.5808008178623922
S3,2,5,4.129411764705883,2.6666666666666665,1.3452437621095517,1.3452437621095517
S3,2,6,4.129411764705883,4.33,-0.22032185491028183,0.22032185491028183
S3,2,7,4.129411764705883,4.094594594594595,0.036621000314728036,0.036621000314728036
S3,3,4,4.894736842105263,4.622222222222222,0.5568926861344323,0.5568926861344323
S3,3,5,4.894736842105263,2.6666666666666665,2.477340863904837,2.477340863904837
S3,3,6,4.894736842105263,4.33,0.7695287626497922,0.7695287626497922
S3,3,7,4.894736842105263,4.094594594594595,1.0585463348592403,1.0585463348592403
S3,4,5,4.622222222222222,2.6666666666666665,1.8745045088256762,1.8745045088256762
S3,4,6,4.622222222222222,4.33,0.3553820337787516,0.3553820337787516
S3,4,7,4.622222222222222,4.094594594594595,0.6121693104653018,0.6121693104653018
S3,5,6,2.6666666666666665,4.33,-1.5961443407039158,1.5961443407039158
S3,5,7,2.6666666666666665,4.094594594594595,-1.2760078323444624,1.2760078323444624
S3,6,7,4.33,4.094594594594595,0.2551168666959512,0.2551168666959512
S4,0,1,5.872340425531915,3.7555555555555555,1.581484487096195,1.581484487096195
S4,0,2,5.872340425531915,4.976470588235294,0.6369305768051639,0.6369305768051639
S4,0,3,5.872340425531915,6.578947368421052,-0.5520168894365638,0.5520168894365638
S4,0,4,5.872340425531915,6.355555555555555,-0.3629275780343819,0.3629275780343819
S4,0,5,5.872340425531915,3.8461538461538463,1.535255419652967,1.535255419652967
S4,0,6,5.872340425531915,5.11,0.503031471724115,0.503031471724115
S4,0,7,5.872340425531915,4.851351351351352,0.7092494395575685,0.7092494395575685
S4,1,2,3.7555555555555555,4.976470588235294,-0.8805693929628041,0.8805693929628041
S4,1,3,3.7555555555555555,6.578947368421052,-2.183152608503769,2.183152608503769
S4,1,4,3.7555555555555555,6.355555555555555,-1.9562612305799412,1.9562612305799412
S4,1,5,3.7555555555555555,3.8461538461538463,-0.06857090077810832,0.06857090077810832
S4,1,6,3.7555555555555555,5.11,-0.9189476164102454,0.9189476164102454
S4,1,7,3.7555555555555555,4.851351351351352,-0.7772628479385394,0.7772628479385394
S4,2,3,4.976470588235294,6.578947368421052,-1.1807940355087285,1.1807940355087285
S4,2,4,4.976470588235294,6.355555555555555,-0.986272157398027,0.986272157398027
S4,2,5,4.976470588235294,3.8461538461538463,0.8109209897853918,0.8109209897853918
S4,2,6,4.976470588235294,5.11,-0.08775083189248721,0.08775083189248721
S4,2,7,4.976470588235294,4.851351351351352,0.08535997508227743,0.08535997508227743
S4,3,4,6.578947368421052,6.355555555555555,0.17649323765382385,0.17649323765382385
S4,3,5,6.578947368421052,3.8461538461538463,2.1855157811052117,2.1855157811052117
S4,3,6,6.578947368421052,5.11,1.001160977479279,1.001160977479279
S4,3,7,6.578947368421052,4.851351351351352,1.2478444926526044,1.2478444926526044
S4,4,5,6.355555555555555,3.8461538461538463,1.924705862252389,1.924705862252389
S4,4,6,6.355555555555555,5.11,0.8248120224770846,0.8248120224770846
S4,4,7,6.355555555555555,4.851351351351352,1.0509631214452546,1.0509631214452546
S4,5,6,3.8461538461538463,5.11,-0.8363242103780705,0.8363242103780705
S4,5,7,3.8461538461538463,4.851351351351352,-0.7037762450624381,0.7037762450624381
S4,6,7,5.11,4.851351351351352,0.16688526846632618,0.16688526846632618
S5,0,1,4.170212765957447,2.066666666666667,1.4758929762061241,1.4758929762061241
S5,0,2,4.170212765957447,3.4941176470588236,0.5129032342305034,0.5129032342305034
