Subject,Condition,R2,MAE,Pearson_r
S1,Narrative_Clusters,0.5267647687694371,1.6391365336118933,0.7259397120451143
S1,Numeric_Clusters,0.512134442851855,1.6328253085244326,0.7156902522487326
S1,Raw_Features,0.618498272347405,1.4403724394785848,0.7881923124238441
S1,Nar_Clusters+Raw,0.6196241751474205,1.439050279329609,0.7890086876929201
S1,Num_Clusters+Raw,0.6160798325457884,1.4432402234636872,0.7866421698849136
S2,Narrative_Clusters,0.7076373352320102,2.6581212498222535,0.8412216066318863
S2,Numeric_Clusters,0.7493498859589278,2.6020043388451017,0.8656512639035421
S2,Raw_Features,0.8984378236689395,1.6730726256983242,0.9479002618652491
S2,Nar_Clusters+Raw,0.8978058449020844,1.681340782122905,0.9475838114228989
S2,Num_Clusters+Raw,0.8975109023795548,1.6822718808193668,0.9474113124121178
S3,Narrative_Clusters,0.513647371954099,0.7560582177728867,0.7166999279254964
S3,Numeric_Clusters,0.5418711742433528,0.7588455292998468,0.7361322104398627
S3,Raw_Features,0.6297419345703508,0.6361824953445065,0.7946299368680345
S3,Nar_Clusters+Raw,0.6306045463774672,0.6342644320297951,0.7951593218557665
S3,Num_Clusters+Raw,0.6242036779242615,0.6431284916201118,0.7910817070128319
S4,Narrative_Clusters,0.2878254984269384,1.0953304944800766,0.5367317312427112
S4,Numeric_Clusters,0.24250530291294958,1.158621239132228,0.49246465221153557
S4,Raw_Features,0.31578444374327175,1.0801303538175047,0.5679812755997142
S4,Nar_Clusters+Raw,0.31212915995397006,1.0868901303538177,0.5648203059579173
S4,Num_Clusters+Raw,0.3236307023274806,1.0728677839851024,0.5740052141714125
S5,Narrative_Clusters,0.3279377949989499,1.070144080017625,0.5728937396571819
S5,Numeric_Clusters,0.30461067395192243,1.1096338563970185,0.5520117556959034
S5,Raw_Features,0.38174551522275957,1.0021601489757914,0.6268643708617245
S5,Nar_Clusters+Raw,0.3772886975250689,1.0094227188081937,0.6237987655401027
S5,Num_Clusters+Raw,0.3784417026295651,1.0051582867783986,0.6249279405655688
