Measure,F_statistic,ANOVA_p,Kruskal_H,Kruskal_p,Eta_squared,Significant_001
T10_theta_TOTAL,301.7297619796026,3.904497179305454e-180,445.99897154451276,3.2107867312659174e-92,0.799705300529108,True
T10_theta_S1,89.0401688771631,2.816708547908704e-85,286.41773742109143,4.798677021994817e-58,0.5409106664247664,True
T10_theta_S2,173.55160425150174,1.3337810579527879e-132,382.8435584722544,1.1367342575017788e-78,0.6966501743532375,True
T10_theta_S3,76.08177359196283,6.125368061495333e-76,250.81679647667278,1.8566898546301144e-50,0.5016826054882259,True
T10_theta_S5,30.089425484800987,4.880871862185481e-35,167.7641749547389,7.431040769283952e-33,0.2847736349811096,True
T10_theta_S6,39.805301631307806,6.156032954357675e-45,178.76448202984696,3.552364641224087e-35,0.34500285769377576,True
