Subject,H_statistic,p_value,Significant_001,Eta_squared
S1,286.41773742109143,4.798677021994817e-58,True,0.5281998817033865
S2,382.8435584722544,1.1367342575017788e-78,True,0.7104793165827116
S3,250.81679647667278,1.8566898546301144e-50,True,0.46090131659106387
S4,167.7641749547389,7.431040769283952e-33,True,0.3039020320505461
S5,178.76448202984696,3.552364641224087e-35,True,0.3246965633834536
