IDCode,n_items,accuracy,avg_rt,var_rt,rt_cv,longest_correct_streak,longest_incorrect_streak,consecutive_correct_rate
paxi044,57.0,0.15789473684210525,13.80953216374269,517.5914627622408,1.647458890392573,3.0,28.0,0.05357142857142857
pivi588,57.0,0.9122807017543859,17.59305263157895,476.24070791473997,1.2404294128848605,23.0,2.0,0.8571428571428571
weda047,57.0,0.8421052631578947,12.279438596491229,193.9920279113408,1.134262123100578,26.0,2.0,0.7321428571428571
zoka501,57.0,0.6666666666666666,15.7970350877193,109.1959654933897,0.6614967480592369,15.0,4.0,0.5
hyku415,57.0,0.7368421052631579,29.428684210526313,1214.9436174217105,1.1844240498096024,25.0,3.0,0.6071428571428571
syvi476,57.0,0.38596491228070173,10.261912280701754,73.10775409990602,0.8332079848181139,7.0,11.0,0.23214285714285715
kuqy630,57.0,0.7894736842105263,25.612000000000002,638.3340043675596,0.9864623104518906,12.0,3.0,0.6428571428571429
node314,57.0,0.631578947368421,27.083017543859647,636.9025242987939,0.931835891238797,14.0,4.0,0.4642857142857143
mybu425,57.0,0.6842105263157895,16.759561403508773,505.0352370175909,1.340905559092655,13.0,6.0,0.5535714285714286
pyqy867,57.0,0.7894736842105263,17.571859649122807,215.1964075731046,0.834833336102368,12.0,3.0,0.625
tywo507,57.0,0.8245614035087719,12.153684210526318,139.35995172796052,0.9713171250516629,17.0,2.0,0.7142857142857143
nuhi137,57.0,0.5263157894736842,13.84963157894737,95.39702943237782,0.7052274447664166,9.0,6.0,0.35714285714285715
vuho146,57.0,0.6140350877192983,19.521622807017547,338.27165956589903,0.9421431391717858,9.0,5.0,0.4642857142857143
nysa238,57.0,0.5263157894736842,25.55490643274854,579.7054781067634,0.942170293853712,13.0,9.0,0.4107142857142857
kisa730,57.0,0.7368421052631579,33.54780701754386,1450.0532061742947,1.1350835580487364,15.0,4.0,0.5535714285714286
doza768,57.0,0.6140350877192983,33.15750877192983,786.7169335377193,0.845916226776127,6.0,4.0,0.39285714285714285
sapu497,57.0,0.631578947368421,19.541701754385965,279.98527908803254,0.8562591356592493,12.0,6.0,0.5
dila385,57.0,0.7192982456140351,17.14982456140351,305.0947816026002,1.0184922016337274,13.0,4.0,0.6071428571428571
pymu787,57.0,0.5789473684210527,19.41884210526316,720.5617202401002,1.382331684991926,17.0,16.0,0.48214285714285715
bejy525,57.0,0.7017543859649122,22.3180701754386,496.15805034855896,0.9980524896943409,18.0,5.0,0.5892857142857143
bajo794,57.0,0.7543859649122807,18.008245614035083,199.34914554722744,0.7840356020680788,17.0,4.0,0.6071428571428571
dugu064,57.0,0.49122807017543857,19.179385964912278,461.8090977180138,1.1204604804191083,15.0,9.0,0.375
hiwu738,57.0,0.8245614035087719,14.470684210526315,231.12485320712716,1.050592407830047,15.0,2.0,0.7142857142857143
zucy684,57.0,0.7894736842105263,27.896701754385962,812.1145959505326,1.0215409922741394,21.0,4.0,0.6964285714285714
huxe147,57.0,0.631578947368421,19.5750350877193,186.32523286690162,0.6973218716328761,11.0,6.0,0.44642857142857145
woza563,57.0,0.6140350877192983,27.448298245614033,563.5674113356515,0.8648833009689311,9.0,5.0,0.44642857142857145
neku787,57.0,0.7719298245614035,17.637947368421052,269.5221608796209,0.9307846180698262,12.0,3.0,0.6428571428571429
navo572,57.0,0.6491228070175439,19.70777192982456,165.4779078467575,0.6527283607451257,13.0,5.0,0.5
gola051,57.0,0.6666666666666666,13.354245614035088,52.28851087550127,0.5414816919417155,12.0,5.0,0.5357142857142857
pyzo535,57.0,0.3333333333333333,22.29757894736842,432.70458070437047,0.9329063218903654,7.0,30.0,0.25
xoky149,57.0,0.6666666666666666,20.52459649122807,489.20206157593987,1.077629598966115,9.0,8.0,0.5178571428571429
loxu319,57.0,0.8947368421052632,19.746719298245615,229.89374040878758,0.7678362658323785,30.0,3.0,0.8392857142857143
qisu640,57.0,0.5263157894736842,14.703596491228073,484.5358271250471,1.4970605683939426,12.0,5.0,0.3392857142857143
gery678,57.0,0.3508771929824561,14.388131578947368,54.111478400011755,0.5112582145689276,6.0,26.0,0.25
huho039,57.0,0.7719298245614035,24.455824561403507,738.9649655276002,1.1115515643439369,11.0,8.0,0.6964285714285714
wozo826,57.0,0.47368421052631576,26.274087719298247,598.0615909696975,0.9307762869312897,15.0,17.0,0.375
soru820,57.0,0.45614035087719296,28.603350877192984,590.7036466836154,0.8497044884385824,9.0,8.0,0.2857142857142857
fari709,57.0,0.2807017543859649,17.352,136.6007974873512,0.673561225432978,4.0,23.0,0.125
qapo730,57.0,0.5614035087719298,20.82954385964912,263.36668941753607,0.7791133800475226,11.0,5.0,0.4107142857142857
najy705,57.0,0.5789473684210527,15.616719298245615,57.19542058557331,0.48427363401535994,8.0,14.0,0.42857142857142855
sejy814,57.0,0.8245614035087719,13.521947368421053,173.67978934777565,0.9746201827629585,15.0,3.0,0.7142857142857143
laze716,57.0,0.7017543859649122,19.038999999999998,336.20379006607135,0.9630684787530787,15.0,4.0,0.5892857142857143
kojo378,57.0,0.45614035087719296,13.19675438596491,110.95994673085842,0.7982078342320564,5.0,12.0,0.26785714285714285
tepu554,57.0,0.8245614035087719,18.45075438596491,101.47000240377507,0.5459523097738381,20.0,3.0,0.7142857142857143
dyva324,57.0,0.45614035087719296,16.967438596491228,163.84780660241228,0.7544040822061003,6.0,5.0,0.25
pusu302,57.0,0.24561403508771928,22.391640350877193,851.7116959853817,1.303348017254989,4.0,26.0,0.14285714285714285
xamy888,57.0,0.6491228070175439,15.674894736842106,109.51134869794801,0.667613224307385,8.0,4.0,0.42857142857142855
ninu744,57.0,0.38596491228070173,13.385535087719298,68.464124691604,0.6181527323274819,8.0,13.0,0.25
punu537,57.0,0.6666666666666666,12.133473684210525,95.69375509989037,0.8062257147185696,12.0,5.0,0.5357142857142857
zufa556,57.0,0.21052631578947367,17.223947368421054,106.8542618462876,0.6001547317676209,4.0,16.0,0.08928571428571429
losy787,57.0,0.42105263157894735,23.35185087719298,521.6084993967851,0.9780273980291954,13.0,26.0,0.3392857142857143
fuxa711,57.0,0.5789473684210527,17.50221052631579,192.22269537066106,0.7921536504166427,11.0,6.0,0.4107142857142857
myzo000,57.0,0.7368421052631579,22.6590350877193,404.24928284755646,0.8873260203147643,15.0,4.0,0.6071428571428571
jygo886,57.0,0.47368421052631576,20.806456140350875,264.8446462325658,0.7821633887937126,5.0,5.0,0.26785714285714285
dyzo734,57.0,0.08771929824561403,13.902070175438597,162.06820825838037,0.9157342102412048,2.0,30.0,0.017857142857142856
ciky680,57.0,0.8245614035087719,21.884245614035088,176.86011832639412,0.6076917987447821,20.0,3.0,0.7142857142857143
nopo152,57.0,0.543859649122807,12.905201754385965,93.2335117927945,0.7482060627128748,14.0,11.0,0.4107142857142857
tivy194,57.0,0.631578947368421,13.268298245614034,114.29156772493734,0.805734333419651,7.0,3.0,0.4107142857142857
biry098,57.0,0.5789473684210527,22.27848245614035,199.81157124358558,0.634489899350938,10.0,10.0,0.42857142857142855
tebo981,57.0,0.8421052631578947,14.337543859649124,174.29625361768484,0.9208083878334594,31.0,3.0,0.7142857142857143
jyma323,57.0,0.7719298245614035,13.419701754385965,197.16415351005634,1.0463358734500832,19.0,3.0,0.625
cani065,57.0,0.7894736842105263,18.960263157894737,169.10006513099935,0.6858474474253041,21.0,2.0,0.6428571428571429
puxi257,57.0,0.5263157894736842,11.94059649122807,167.4949886577851,1.0838642364779631,8.0,10.0,0.35714285714285715
jemy201,57.0,0.6842105263157895,14.225438596491228,109.42377511907895,0.7353433707871838,11.0,5.0,0.5535714285714286
woqa919,57.0,0.7719298245614035,22.11240350877193,291.6663283705827,0.7723376323847553,10.0,3.0,0.6071428571428571
huze427,57.0,0.45614035087719296,12.039859649122805,73.52557484244986,0.7121931463495458,5.0,11.0,0.2857142857142857
jaxe723,57.0,0.8070175438596491,14.84777192982456,106.62915581223369,0.6954672723003287,14.0,2.0,0.6785714285714286
xamy676,57.0,0.6491228070175439,18.09140350877193,271.4952536045113,0.9107703012635594,7.0,5.0,0.4642857142857143
