narrative_best_label,S1,S2,S3,S4,S5,Missing_total
0,8.555555555555555,23.59259259259259,3.8518518518518516,4.555555555555555,3.185185185185185,1.0935672515925925
1,11.933333333333334,29.4,4.2,5.466666666666667,4.466666666666667,4.052631578866667
2,6.468085106382978,16.574468085106382,2.0851063829787235,4.127659574468085,1.9148936170212767,18.366181411276596
3,13.823529411764707,32.44117647058823,4.9411764705882355,6.411764705882353,5.117647058823529,0.0
4,9.576271186440678,26.74576271186441,4.033898305084746,4.745762711864407,3.5084745762711864,1.7368421053898306
5,6.6923076923076925,17.692307692307693,2.6666666666666665,3.8461538461538463,2.051282051282051,11.534412955410257
6,9.793103448275861,26.344827586206897,4.258620689655173,5.172413793103448,3.6379310344827585,1.4673321232931036
7,13.652173913043478,32.130434782608695,4.826086956521739,6.826086956521739,5.130434782608695,0.0
8,10.236363636363636,27.454545454545453,4.054545454545455,4.909090909090909,3.4727272727272727,2.3684210527454543
9,11.560975609756097,30.097560975609756,4.7560975609756095,5.634146341463414,4.390243902439025,0.7201540436585365
10,6.465116279069767,14.511627906976743,1.697674418604651,3.3488372093023258,2.2325581395348837,14.904528763744187
11,11.25,29.65625,4.71875,6.0625,4.03125,0.59703947359375
12,12.4375,31.3125,4.9375,7.0625,5.0,0.0
13,10.89655172413793,29.79310344827586,4.448275862068965,5.9655172413793105,4.0,0.2994555353793103
14,8.31578947368421,23.105263157894736,4.2105263157894735,4.684210526315789,3.1052631578947367,0.9141274237894738
