IDCode,index,narrative_gmm_bic_best_label,narrative_gmm_aicc_best_label,narrative_best_label
maxy370,247,11,11,11
ryko512,248,12,12,12
kula014,249,13,13,13
jeqy595,250,5,5,5
guva627,251,1,1,1
lohy238,252,7,7,7
cobi870,253,8,8,8
giki066,254,3,3,3
hywy001,255,4,4,4
feji918,256,13,13,13
luli756,257,1,1,1
wumu083,258,12,12,12
cyga680,259,9,9,9
buvy316,260,6,6,6
rejy122,261,13,13,13
dusi300,262,13,13,13
howe436,263,13,13,13
ropi792,264,3,3,3
jemy300,265,3,3,3
qexo432,266,8,8,8
kyso927,267,9,9,9
cozi663,268,10,10,10
vani542,269,4,4,4
kaxu871,270,11,11,11
moku835,271,3,3,3
cahe192,272,9,9,9
feso129,273,3,3,3
tufa140,274,3,3,3
zigi489,275,10,10,10
dahi696,276,9,9,9
quhe482,277,10,10,10
taxa827,278,4,4,4
vuga321,279,8,8,8
nycu731,280,9,9,9
raxy329,281,4,4,4
nyfe489,282,7,7,7
texu966,283,4,4,4
kifo712,284,4,4,4
pajo050,285,4,4,4
hefy659,286,4,4,4
tujy672,287,9,9,9
cyfe247,288,10,10,10
xori482,289,4,4,4
raje697,290,13,13,13
biwu043,291,8,8,8
cylu852,292,6,6,6
fode209,293,6,6,6
woju333,294,4,4,4
saca329,295,11,11,11
jizi110,296,8,8,8
vyxi492,297,3,3,3
xehy451,298,6,6,6
feke878,299,0,0,0
rozu771,300,6,6,6
duvi856,301,7,7,7
nexu635,302,8,8,8
cozi454,303,0,0,0
saze236,304,6,6,6
quzy338,305,6,6,6
lula174,306,7,7,7
buzo685,307,14,14,14
huby293,308,12,12,12
dyhi182,309,6,6,6
tatu362,310,13,13,13
bene344,311,8,8,8
keho061,312,14,14,14
vyxy108,313,8,8,8
zusa663,314,11,11,11
nehe056,315,3,3,3
myve834,316,3,3,3
tyhy481,317,0,0,0
sati762,318,8,8,8
biku776,319,14,14,14
wify666,320,7,7,7
sony276,321,11,11,11
tusi463,322,8,8,8
baco446,323,5,5,5
coni238,324,1,1,1
tuvu087,325,5,5,5
vuci475,326,8,8,8
seto741,327,10,10,10
jewe923,328,1,1,1
jaqy340,329,8,8,8
pubu440,330,10,10,10
gyjy255,331,8,8,8
zyte492,332,9,9,9
ruco451,333,8,8,8
loda300,334,4,4,4
moly152,335,5,5,5
cuba307,336,8,8,8
jupo405,337,5,5,5
xuke183,338,4,4,4
mado232,339,2,2,2
zafy372,340,7,7,7
gyly160,341,4,4,4
tapi010,342,10,10,10
gelu604,343,3,3,3
qiqi041,344,8,8,8
ratu271,345,4,4,4
kyqu130,346,9,9,9
lucu601,347,9,9,9
kama922,348,8,8,8
zoma564,349,4,4,4
puju088,350,6,6,6
jufy997,351,13,13,13
wyja070,352,8,8,8
dasy955,353,4,4,4
wyki565,354,4,4,4
garu074,355,9,9,9
qyxy586,356,11,11,11
kegi864,357,3,3,3
gyge774,358,4,4,4
vyda893,359,10,10,10
vuvy608,360,11,11,11
vizo712,361,4,4,4
givi158,362,0,0,0
caro445,363,11,11,11
nene689,364,7,7,7
ryfy568,365,4,4,4
johy783,366,2,2,2
sulo956,367,0,0,0
gony054,368,11,11,11
puca767,369,6,6,6
baky109,370,5,5,5
mabo887,371,8,8,8
cona428,372,11,11,11
lilo882,373,8,8,8
gycy436,374,8,8,8
jyri631,375,13,13,13
safu128,376,12,12,12
fore104,377,11,11,11
zabe850,378,11,11,11
woci389,379,6,6,6
kygi723,380,13,13,13
qejy219,381,7,7,7
jago498,382,11,11,11
buby593,383,9,9,9
dapu822,384,13,13,13
sugu976,385,10,10,10
wuxa997,386,6,6,6
tiqy778,387,4,4,4
xyfe491,388,5,5,5
ryhy064,389,9,9,9
kufi222,390,4,4,4
xaja332,391,8,8,8
fofa613,392,10,10,10
viba035,393,5,5,5
qewy924,394,9,9,9
pytu496,395,4,4,4
tosa657,396,9,9,9
keri121,397,3,3,3
bofi991,398,14,14,14
bihi184,399,10,10,10
piro376,400,6,6,6
zejy480,401,5,5,5
zapy404,402,0,0,0
lusi512,403,6,6,6
sedo490,404,5,5,5
davu999,405,8,8,8
buby236,406,10,10,10
weru214,407,4,4,4
tyly265,408,2,2,2
nise834,409,5,5,5
voxy002,410,10,10,10
fypi681,411,8,8,8
xopa120,412,10,10,10
wari483,413,6,6,6
kegy317,414,4,4,4
geka905,415,6,6,6
lore323,416,5,5,5
vane668,417,12,12,12
zuxy510,418,10,10,10
masu336,419,4,4,4
xise560,420,8,8,8
zomi496,421,2,2,2
lilu285,422,2,2,2
heqi003,423,10,10,10
