template_version,baseline,metric,value,description
A,gmm_bic_best_label,adjusted_rand_index,0.1171322131390988,"Agreement between baseline cluster labels and narrative_best_label (1 = perfect match, 0 ≈ random)."
A,gmm_aic_best_label,adjusted_rand_index,0.21468274959772982,"Agreement between baseline cluster labels and narrative_best_label (1 = perfect match, 0 ≈ random)."
A,gmm_aicc_best_label,adjusted_rand_index,0.07552066871997165,"Agreement between baseline cluster labels and narrative_best_label (1 = perfect match, 0 ≈ random)."
A,gmm_bic_best_label,silhouette_cosine,0.03140154108405113,"Cluster separation in narrative embedding space using cosine distance (higher is better, max = 1)."
A,gmm_bic_best_label,calinski_harabasz,81.15908098564763,Calinski-Harabasz index in narrative embedding space (higher is better).
A,gmm_bic_best_label,davies_bouldin,3.4566106143237687,Davies-Bouldin index in narrative embedding space (lower is better).
A,gmm_aic_best_label,silhouette_cosine,0.0348162017762661,"Cluster separation in narrative embedding space using cosine distance (higher is better, max = 1)."
A,gmm_aic_best_label,calinski_harabasz,63.2756640051997,Calinski-Harabasz index in narrative embedding space (higher is better).
A,gmm_aic_best_label,davies_bouldin,3.0509873073561837,Davies-Bouldin index in narrative embedding space (lower is better).
A,gmm_aicc_best_label,silhouette_cosine,0.10056015849113464,"Cluster separation in narrative embedding space using cosine distance (higher is better, max = 1)."
A,gmm_aicc_best_label,calinski_harabasz,75.29290218980937,Calinski-Harabasz index in narrative embedding space (higher is better).
A,gmm_aicc_best_label,davies_bouldin,2.7155163158758695,Davies-Bouldin index in narrative embedding space (lower is better).
